-0.08,0.02,0.78,0.08,0.02,1.01,0.63,0.13,2.63
-0.08,0.02,0.78,0.08,0.02,1.01,0.56,0.09,2.42
-0.08,0.02,0.78,0.08,0.02,1.01,0.46,0.06,2.52
-0.08,0.02,0.78,0.08,0.02,1.01,0.56,0.38,2.52
-0.08,0.02,0.78,0.09,0.02,1.00,0.39,0.16,2.70
-0.08,0.02,0.78,0.08,0.02,1.01,0.56,0.31,2.49
-0.08,0.02,0.78,0.08,0.02,1.01,0.63,0.06,2.56
-0.08,0.02,0.78,0.08,0.02,1.01,0.56,0.06,2.59
-0.08,0.02,0.78,0.08,0.02,1.01,0.46,0.20,2.70
-0.08,0.02,0.78,0.08,0.02,1.01,0.49,-0.09,2.80
-0.08,0.02,0.78,0.08,0.02,1.00,0.67,0.09,2.80
-0.08,0.02,0.78,0.08,0.02,1.01,0.32,0.06,2.77
-0.08,0.02,0.78,0.08,0.02,1.01,0.71,0.20,2.84
-0.08,0.02,0.78,0.08,0.02,1.01,0.67,0.09,2.45
-0.08,0.02,0.78,0.08,0.02,1.01,0.25,0.16,2.77
-0.08,0.02,0.78,0.08,0.02,1.01,0.53,0.09,2.70
-0.08,0.02,0.78,0.08,0.02,1.01,0.53,0.16,2.56
-0.08,0.02,0.78,0.08,0.02,1.01,0.60,0.13,11.25
-0.08,0.02,0.78,0.08,0.02,1.01,0.46,0.20,2.63
-0.08,0.02,0.78,0.08,0.01,1.01,0.56,0.09,2.56
-0.08,0.02,0.78,0.08,0.02,1.01,0.32,0.16,2.56
-0.08,0.02,0.78,0.08,0.02,1.01,0.35,0.27,2.63
-0.08,0.02,0.79,0.08,0.02,1.01,0.63,0.13,2.56
-0.08,0.02,0.79,0.08,0.02,1.01,0.85,-0.05,2.49
-0.08,0.02,0.79,0.08,0.02,1.01,0.28,-0.12,2.63
-0.08,0.02,0.79,0.08,0.02,1.01,0.28,-0.09,2.59
-0.08,0.02,0.79,0.08,0.02,1.01,0.46,0.06,2.66
-0.08,0.02,0.79,0.08,0.02,1.01,0.53,-0.12,2.77
-0.08,0.02,0.79,0.08,0.02,1.01,0.32,-0.19,2.90
-0.08,0.02,0.79,0.08,0.02,1.01,0.49,-0.12,2.52
-0.08,0.02,0.79,0.08,0.02,1.01,0.63,0.06,2.59
-0.08,0.02,0.79,0.08,0.02,1.01,0.56,0.06,2.52
-0.08,0.02,0.79,0.08,0.02,1.01,-8.28,0.20,2.84
-0.08,0.02,0.79,0.08,0.02,1.01,0.53,-0.02,2.77
-0.08,0.02,0.79,0.08,0.02,1.01,0.46,0.24,2.63
-0.08,0.02,0.79,0.08,0.02,1.01,0.53,0.13,2.73
